,oid,Identifier,ra,dec,AltAz,Az,Alt
1,7790,BD+44   156          ,11.392068711340004,45.61339141413,319.59 20.2336,319.59,20.2336
2,7791,BD+44   157          ,11.4268873682,45.58761831416,319.553 20.2267,319.553,20.2267
10,7778,BD+45   188          ,11.08825670293,45.92021550789,319.964 20.3612,319.964,20.3612
11,7780,BD+45   197          ,11.70336501054,46.18056030183,319.754 20.8211,319.754,20.8211
27,1577313,GD 10                ,16.72481088788,39.51579086332,312.441 17.617,312.441,17.617
28,1546045,GD 11                ,17.34667576891,37.54610508251999,310.804 16.3271,310.804,16.3271
30,1596611,GD 13                ,22.42771591869,42.471697785180005,310.793 22.6024,310.793,22.6024
34,107213,GD 273               ,16.585077872639996,56.0823589884,323.92 30.4782,323.92,30.4782
35,83516,GD 275               ,19.72580724797,52.45381164814,319.57 28.977,319.57,28.977
36,25000,GD 276               ,20.96103038252,47.78730375536,315.431 25.988,315.431,25.988
37,46947,GD 277               ,22.349976953980004,51.14638010416,317.19 29.0974,317.19,29.0974
38,83518,GD 278               ,22.74195123712,53.36103048006,318.737 30.8773,318.737,30.8773
39,11682724,GD 279               ,28.01234168009,47.00184754237999,310.865 28.6209,310.865,28.6209
52,129928,GD 410               ,8.85292842302,60.96978924893,331.188 31.6336,331.188,31.6336
67,7779,HD   4297            ,11.465920938869996,45.8957795051,319.72 20.4935,319.72,20.4935
68,7781,HD   4461            ,11.80185239329,46.18250656301,319.696 20.8625,319.696,20.8625
133,7950,TYC 3249-769-1       ,11.18515651263,45.83082572615,319.85 20.3273,319.85,20.3273
134,7953,TYC 3249-846-1       ,11.20634053479,45.74940459606001,319.787 20.2694,319.787,20.2694
135,8039,TYC 3262-1236-1      ,11.79784742596,45.88966617871,319.516 20.623,319.516,20.623
136,8041,TYC 3262-1341-1      ,11.48592936747,46.07593596309,319.82 20.6482,319.82,20.6482
137,8047,TYC 3262-1655-1      ,11.58961978541,46.10840022359,319.777 20.7165,319.777,20.7165
138,8049,TYC 3262-1757-1      ,11.40797729221,45.94857478806001,319.788 20.5131,319.788,20.5131
139,8052,TYC 3262-1889-1      ,11.605284875869998,46.0473768184,319.73 20.6732,319.73,20.6732
140,6838328,TYC 3262-819-1       ,11.3076366935,45.79669227798,319.755 20.3489,319.755,20.3489
141,8036,TYC 3262-924-1       ,11.49907869127,45.80364248567,319.643 20.432,319.643,20.432
142,8037,TYC 3262-956-1       ,11.64378529853,45.84738081115,319.582 20.5262,319.582,20.5262
143,6838341,TYC 3262-969-1       ,11.7850749067,45.904609389860006,319.533 20.63,319.533,20.63
144,25882,TYC 3283-1238-1      ,27.981337539290003,47.02703620639,310.902 28.6244,310.902,28.6244
145,6842623,TYC 3283-1242-1      ,28.01004037695,47.02819460425,310.887 28.6388,310.887,28.6388
203,9221713,UCAC4 648-004232     ,16.74419248571,39.51475602646,312.428 17.6251,312.428,17.6251
204,9221714,UCAC4 648-004235     ,16.75153454247,39.52640549791,312.431 17.6378,312.431,17.6378
205,9221715,UCAC4 648-004238     ,16.77240950604,39.52454612054,312.416 17.646,312.416,17.646
228,9221719,UCAC4 663-006350     ,22.41986360469,42.46526240068,310.793 22.5938,310.793,22.5938
306,9221707,UCAC4 680-004467     ,11.63024736082,45.84047146246,319.586 20.5151,319.586,20.5151
307,9221708,UCAC4 680-004530     ,11.793801392820004,45.87598225909001,319.509 20.6103,319.509,20.6103
308,9221709,UCAC4 680-004540     ,11.812754853559998,45.90267094568,319.515 20.6397,319.515,20.6397
309,9221710,UCAC4 680-004541     ,11.81396532671,45.92033160982001,319.525 20.6545,319.525,20.6545
310,9221711,UCAC4 680-004544     ,11.829563905249998,45.8914503605,319.498 20.6374,319.498,20.6374
311,9221712,UCAC4 680-004546     ,11.838122858329998,45.89501707071,319.495 20.6437,319.495,20.6437
313,9221726,UCAC4 685-010802     ,27.979360653850005,46.98120028117,310.867 28.5904,310.867,28.5904
314,9221731,UCAC4 685-010821     ,28.02122058262,46.98094236691,310.844 28.61,310.844,28.61
315,9221727,UCAC4 686-010978     ,27.99942403506,47.05073603131,310.911 28.6501,310.911,28.6501
316,9221728,UCAC4 686-010980     ,28.00057411066,47.02793942568,310.892 28.6342,310.892,28.6342
317,9221729,UCAC4 686-010988     ,28.01236935014,47.0094803343,310.871 28.6264,310.871,28.6264
318,9221730,UCAC4 686-010989     ,28.01416086416,47.0550177688,310.906 28.6601,310.906,28.6601
319,9221732,UCAC4 686-010999     ,28.036638694979995,47.0010516996,310.851 28.6318,310.851,28.6318
323,9221717,UCAC4 706-010981     ,22.37072114442,51.15540093522,317.186 29.1128,317.186,29.1128
324,9221718,UCAC4 706-010983     ,22.3746624255,51.13400758573,317.167 29.0988,317.167,29.0988
328,9221716,UCAC4 713-010332     ,19.72624843318,52.46387876947,319.577 28.9847,319.577,28.9847
330,9221720,UCAC4 717-012428     ,22.74360741948,53.37163600797,318.745 30.8856,318.745,30.8856
331,9221721,UCAC4 717-012445     ,22.77776874031,53.3380787872,318.701 30.8754,318.701,30.8754
